bigram,frequency
ст,0.0163
ра,0.0142
ов,0.0138
ен,0.0136
но,0.0118
на,0.0116
то,0.0113
ни,0.0108
по,0.0101
ал,0.0100
ес,0.0098
ос,0.0093
го,0.0087
ва,0.0087
ка,0.0087
ро,0.0085
ти,0.0085
об,0.0085
аз,0.0083
ор,0.0083
ан,0.0082
во,0.0081
ла,0.0079
ко,0.0079
ло,0.0079
не,0.0079
от,0.0077
ер,0.0076
ет,0.0075
он,0.0073
пр,0.0073
ол,0.0072
те,0.0071
ив,0.0070
за,0.0069
ой,0.0069
нн,0.0067
ав,0.0066
ли,0.0066
ре,0.0066
ом,0.0065
мо,0.0063
ны,0.0063
ас,0.0062
ин,0.0057
од,0.0057
ри,0.0056
ве,0.0055
ие,0.0055
ем,0.0054
ел,0.0054
ия,0.0053
ат,0.0051
ая,0.0050
ле,0.0050
ис,0.0050
ит,0.0049
че,0.0048
де,0.0047
ль,0.0046
ак,0.0045
тв,0.0045
им,0.0045
ил,0.0044
ть,0.0043
та,0.0043
ви,0.0042
ир,0.0042
ми,0.0042
ев,0.0041
вы,0.0040
со,0.0040
ше,0.0039
ма,0.0039
вн,0.0038
ог,0.0037
ок,0.0037
ед,0.0036
ру,0.0036
ня,0.0036
же,0.0036
ки,0.0035
вс,0.0035
бо,0.0035
ег,0.0035
сп,0.0034
ии,0.0034
еп,0.0034
вл,0.0034
ап,0.0034
ск,0.0033
ши,0.0033
се,0.0033
оп,0.0033
пе,0.0033
му,0.0033
ае,0.0032
сл,0.0032
ьк,0.0032
ам,0.0032
зв,0.0031
бе,0.0031
сь,0.0031
да,0.0031
яс,0.0030
аб,0.0030
оо,0.0030
ид,0.0029
ей,0.0029
ьн,0.0029
бр,0.0029
ту,0.0028
ых,0.0028
ме,0.0028
до,0.0028
ди,0.0028
ио,0.0028
ад,0.0027
ци,0.0027
ее,0.0027
уч,0.0027
тр,0.0026
ар,0.0026
аж,0.0025
бы,0.0025
еч,0.0025
ое,0.0024
эт,0.0024
кр,0.0024
па,0.0024
як,0.0023
си,0.0023
ук,0.0023
кт,0.0022
ип,0.0022
яп,0.0022
оз,0.0022
их,0.0022
уг,0.0022
чт,0.0022
ий,0.0021
вш,0.0021
кн,0.0021
тн,0.0021
из,0.0021
ик,0.0021
ье,0.0021
ую,0.0021
бу,0.0021
рм,0.0021
ча,0.0020
мн,0.0020
фо,0.0020
ех,0.0020
нь,0.0020
хо,0.0020
ля,0.0019
ну,0.0019
ож,0.0019
зн,0.0019
ач,0.0019
ян,0.0018
ке,0.0018
яз,0.0018
св,0.0018
ый,0.0018
ео,0.0018
ха,0.0018
ез,0.0018
еи,0.0018
ыв,0.0018
тс,0.0018
ги,0.0018
ят,0.0018
др,0.0017
ус,0.0017
гр,0.0017
ек,0.0017
уш,0.0017
ац,0.0017
йс,0.0017
хп,0.0016
га,0.0016
ша,0.0016
ып,0.0016
яв,0.0016
ся,0.0016
ву,0.0016
сс,0.0016
ые,0.0016
дл,0.0016
йт,0.0016
ош,0.0015
ыс,0.0015
ур,0.0015
оч,0.0015
чи,0.0015
лс,0.0014
ым,0.0014
ич,0.0014
яг,0.0014
аг,0.0014
шк,0.0014
дн,0.0014
ыл,0.0014
яд,0.0013
лу,0.0013
уж,0.0013
ям,0.0013
чн,0.0013
ув,0.0013
пл,0.0013
жн,0.0012
ры,0.0012
ря,0.0012
тк,0.0012
яе,0.0012
са,0.0012
йн,0.0012
жи,0.0012
ьв,0.0012
аи,0.0012
уд,0.0012
ьо,0.0012
щи,0.0012
жа,0.0012
нт,0.0012
ао,0.0012
сш,0.0012
зо,0.0011
гу,0.0011
иб,0.0011
мм,0.0011
уи,0.0011
нс,0.0011
вф,0.0011
лк,0.0011
зд,0.0011
оу,0.0011
лн,0.0011
ты,0.0011
яи,0.0011
сн,0.0011
су,0.0011
ын,0.0011
ба,0.0010
гд,0.0010
аа,0.0010
см,0.0010
иа,0.0010
пь,0.0010
мс,0.0010
ще,0.0010
йи,0.0010
еа,0.0010
еб,0.0010
вк,0.0010
лю,0.0009
тя,0.0009
ах,0.0009
ьс,0.0009
жд,0.0009
рн,0.0009
ул,0.0009
ои,0.0009
йр,0.0009
йк,0.0009
ун,0.0009
гл,0.0009
зя,0.0009
иг,0.0009
ду,0.0009
мы,0.0008
зг,0.0008
лч,0.0008
ьи,0.0008
лы,0.0008
йм,0.0008
ея,0.0008
иц,0.0008
ец,0.0008
рт,0.0008
ум,0.0008
уе,0.0008
ку,0.0008
мп,0.0008
йв,0.0008
тп,0.0008
хз,0.0007
юс,0.0007
оя,0.0007
дк,0.0007
тш,0.0007
кс,0.0007
йп,0.0007
иж,0.0007
ьт,0.0007
йд,0.0007
йш,0.0007
аш,0.0007
шл,0.0006
вь,0.0006
йо,0.0006
вр,0.0006
зы,0.0006
ущ,0.0006
ды,0.0006
ащ,0.0006
еш,0.0006
зи,0.0006
бл,0.0006
мк,0.0006
иэ,0.0006
юб,0.0006
хи,0.0006
ьм,0.0006
це,0.0006
уо,0.0005
ещ,0.0005
ыо,0.0005
аэ,0.0005
тм,0.0005
юз,0.0005
жк,0.0005
юд,0.0005
хф,0.0005
хв,0.0005
мр,0.0005
шу,0.0005
юр,0.0005
нп,0.0005
ыи,0.0005
пу,0.0005
нв,0.0005
нк,0.0005
еж,0.0005
ою,0.0005
мд,0.0005
ср,0.0005
кж,0.0005
мб,0.0005
яя,0.0005
рг,0.0005
вм,0.0005
сы,0.0005
кл,0.0005
сд,0.0005
яо,0.0005
иш,0.0005
йг,0.0005
дв,0.0005
рп,0.0005
дь,0.0004
ай,0.0004
зж,0.0004
дг,0.0004
ьб,0.0004
ыт,0.0004
иу,0.0004
ьг,0.0004
мз,0.0004
ык,0.0004
тх,0.0004
пи,0.0004
вп,0.0004
ьш,0.0004
йч,0.0004
дя,0.0004
бс,0.0004
бб,0.0004
яб,0.0004
бн,0.0004
ыг,0.0004
ща,0.0004
чу,0.0004
ищ,0.0004
ыш,0.0004
рх,0.0004
ьз,0.0004
ут,0.0004
рь,0.0004
лп,0.0004
щн,0.0004
зь,0.0004
оц,0.0004
йэ,0.0004
ге,0.0003
тл,0.0003
чш,0.0003
хн,0.0003
лж,0.0003
нф,0.0003
юл,0.0003
уб,0.0003
нч,0.0003
кк,0.0003
мэ,0.0003
ыр,0.0003
кх,0.0003
нд,0.0003
эл,0.0003
сг,0.0003
чк,0.0003
нщ,0.0003
зу,0.0003
ьэ,0.0003
фр,0.0003
ху,0.0003
лв,0.0003
мт,0.0003
мв,0.0003
цо,0.0003
ящ,0.0003
вг,0.0003
дс,0.0003
зл,0.0003
ьп,0.0003
ыб,0.0003
йз,0.0003
ьч,0.0003
еу,0.0003
кб,0.0003
тч,0.0003
зр,0.0003
яй,0.0003
уп,0.0003
рб,0.0003
ею,0.0002
пп,0.0002
хж,0.0002
юм,0.0002
бя,0.0002
мж,0.0002
кв,0.0002
дш,0.0002
сч,0.0002
зш,0.0002
рс,0.0002
тд,0.0002
ют,0.0002
бк,0.0002
жп,0.0002
фи,0.0002
цы,0.0002
ыз,0.0002
яж,0.0002
тт,0.0002
ию,0.0002
аю,0.0002
юн,0.0002
уа,0.0002
нм,0.0002
кг,0.0002
бщ,0.0002
ню,0.0002
рв,0.0002
юю,0.0002
дт,0.0002
кю,0.0002
хе,0.0002
дм,0.0002
эк,0.0002
ьл,0.0002
шн,0.0002
тг,0.0002
лх,0.0002
сб,0.0002
нз,0.0002
зе,0.0002
юп,0.0002
гн,0.0002
иф,0.0002
зб,0.0002
йа,0.0002
рк,0.0002
яр,0.0002
оа,0.0002
гк,0.0002
вз,0.0002
мф,0.0002
сж,0.0002
рш,0.0002
ыу,0.0002
вб,0.0002
вэ,0.0002
лр,0.0002
хм,0.0002
мг,0.0002
вв,0.0002
кэ,0.0002
дх,0.0002
йх,0.0002
яа,0.0002
кп,0.0002
ох,0.0002
хс,0.0002
кд,0.0002
рл,0.0002
йл,0.0002
оэ,0.0001
ощ,0.0001
мл,0.0001
нр,0.0001
зм,0.0001
щу,0.0001
рч,0.0001
бв,0.0001
ьу,0.0001
йб,0.0001
фа,0.0001
нб,0.0001
гч,0.0001
жв,0.0001
цу,0.0001
йе,0.0001
ыд,0.0001
ьа,0.0001
зю,0.0001
яу,0.0001
мх,0.0001
лд,0.0001
сф,0.0001
пя,0.0001
фе,0.0001
мч,0.0001
хк,0.0001
зк,0.0001
лм,0.0001
зп,0.0001
ющ,0.0001
тц,0.0001
рж,0.0001
юв,0.0001
юг,0.0001
уу,0.0001
зз,0.0001
чь,0.0001
вт,0.0001
ях,0.0001
уй,0.0001
тз,0.0001
аф,0.0001
дп,0.0001
юи,0.0001
юу,0.0001
пы,0.0001
кя,0.0001
ца,0.0001
км,0.0001
ял,0.0001
ух,0.0001
ау,0.0001
жч,0.0001
ья,0.0001
оф,0.0001
щь,0.0001
ьд,0.0000
нэ,0.0000
ыч,0.0000
хб,0.0000
рд,0.0000
рр,0.0000
чс,0.0000
х,0.0000
юя,0.0000
ьх,0.0000
цс,0.0000
юа,0.0000
хэ,0.0000
уэ,0.0000
хр,0.0000
мя,0.0000
рэ,0.0000
лт,0.0000
уз,0.0000
еэ,0.0000
ьр,0.0000
йя,0.0000
шо,0.0000
юо,0.0000
нг,0.0000
яэ,0.0000
чр,0.0000
тэ,0.0000
юэ,0.0000
хд,0.0000
хч,0.0000
чз,0.0000
хг,0.0000
юк,0.0000
хх,0.0000
чп,0.0000
кз,0.0000
уя,0.0000
хя,0.0000
